t,drone_x,drone_y,drone_z,drone_roll,drone_pitch,drone_yaw,flower_x,flower_y,flower_z,flower_roll,flower_pitch,flower_yaw,dx,dy,dz,distance
0.300000,-0.000003,-0.000149,0.034797,-0.000000,-0.001015,1.570003,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299997,1.000149,1.065203,1.491628
0.310000,-0.000003,-0.000157,0.034797,-0.000000,-0.001015,1.570003,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299997,1.000157,1.065203,1.491633
0.320000,-0.000003,-0.000165,0.034797,-0.000000,-0.001015,1.570003,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299997,1.000165,1.065203,1.491639
0.330000,-0.000004,-0.000174,0.034797,-0.000000,-0.001015,1.570003,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299996,1.000174,1.065203,1.491644
0.340000,-0.000004,-0.000182,0.034797,-0.000000,-0.001015,1.570003,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299996,1.000182,1.065203,1.491650
0.350000,-0.000004,-0.000190,0.034797,-0.000000,-0.001015,1.570004,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299996,1.000190,1.065203,1.491655
0.360000,-0.000004,-0.000199,0.034797,-0.000000,-0.001015,1.570004,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299996,1.000199,1.065203,1.491661
0.370000,-0.000005,-0.000207,0.034797,-0.000000,-0.001015,1.570004,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299995,1.000207,1.065203,1.491667
0.380000,-0.000005,-0.000216,0.034797,-0.000000,-0.001015,1.570004,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299995,1.000216,1.065203,1.491672
0.390000,-0.000005,-0.000224,0.034797,-0.000000,-0.001015,1.570004,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299995,1.000224,1.065203,1.491678
0.400000,-0.000005,-0.000232,0.034797,-0.000000,-0.001015,1.570005,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299995,1.000232,1.065203,1.491683
0.410000,-0.000005,-0.000241,0.034797,-0.000000,-0.001015,1.570005,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299995,1.000241,1.065203,1.491689
0.420000,-0.000006,-0.000249,0.034797,-0.000000,-0.001015,1.570005,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299994,1.000249,1.065203,1.491694
0.430000,-0.000006,-0.000257,0.034797,-0.000000,-0.001015,1.570005,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299994,1.000257,1.065203,1.491700
0.440000,-0.000006,-0.000266,0.034797,-0.000000,-0.001015,1.570005,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299994,1.000266,1.065203,1.491705
0.450000,-0.000006,-0.000274,0.034797,-0.000000,-0.001015,1.570006,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299994,1.000274,1.065203,1.491711
0.460000,-0.000007,-0.000283,0.034797,-0.000000,-0.001015,1.570006,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299993,1.000283,1.065203,1.491717
0.470000,-0.000007,-0.000291,0.034797,-0.000000,-0.001015,1.570006,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299993,1.000291,1.065203,1.491722
0.480000,-0.000007,-0.000299,0.034797,-0.000000,-0.001015,1.570006,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299993,1.000299,1.065203,1.491728
0.490000,-0.000007,-0.000308,0.034797,-0.000000,-0.001015,1.570006,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299993,1.000308,1.065203,1.491733
0.500000,-0.000007,-0.000316,0.034797,-0.000000,-0.001015,1.570007,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299993,1.000316,1.065203,1.491739
0.510000,-0.000008,-0.000324,0.034797,-0.000000,-0.001015,1.570007,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299992,1.000324,1.065203,1.491744
0.520000,-0.000008,-0.000333,0.034797,-0.000000,-0.001015,1.570007,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299992,1.000333,1.065203,1.491750
0.530000,-0.000008,-0.000341,0.034797,-0.000000,-0.001015,1.570007,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299992,1.000341,1.065203,1.491756
0.540000,-0.000008,-0.000350,0.034797,-0.000000,-0.001015,1.570007,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299992,1.000350,1.065203,1.491761
0.550000,-0.000009,-0.000358,0.034797,-0.000000,-0.001015,1.570008,-0.300000,1.000000,1.100000,0.000000,0.000000,-1.571000,-0.299991,1.000358,1.065203,1.491767
