t,drone_x,drone_y,drone_z,drone_vel_x,drone_vel_y,drone_vel_z,drone_roll,drone_pitch,drone_yaw,flower_x,flower_y,flower_z,flower_vel_x,flower_vel_y,flower_vel_z,flower_roll,flower_pitch,flower_yaw,dx,dy,dz,distance
21.046000,-0.001536,-0.004294,1.080015,0.000026,0.000013,-0.039356,0.000004,0.000004,1.570797,0.597007,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.598543,1.004294,0.019985,1.169298
21.048000,-0.001536,-0.004294,1.079936,0.000026,0.000013,-0.039443,0.000003,0.000003,1.570797,0.596736,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.598271,1.004294,0.020064,1.169161
21.050000,-0.001535,-0.004294,1.079857,0.000026,0.000013,-0.039529,0.000002,0.000003,1.570797,0.596452,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.597988,1.004294,0.020143,1.169017
21.052000,-0.001535,-0.004294,1.079777,0.000026,0.000013,-0.039616,0.000001,0.000003,1.570797,0.596158,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.597693,1.004294,0.020223,1.168868
21.054000,-0.001535,-0.004294,1.079698,0.000026,0.000013,-0.039703,0.000001,0.000003,1.570797,0.595851,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.597386,1.004294,0.020302,1.168712
21.056000,-0.001535,-0.004294,1.079618,0.000026,0.000013,-0.039789,-0.000000,0.000003,1.570797,0.595533,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.597068,1.004294,0.020382,1.168551
21.058000,-0.001535,-0.004294,1.079538,0.000026,0.000014,-0.039875,-0.000001,0.000003,1.570797,0.595203,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.596738,1.004294,0.020462,1.168384
21.060000,-0.001535,-0.004294,1.079458,0.000026,0.000014,-0.039961,-0.000002,0.000003,1.570797,0.594861,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.596397,1.004294,0.020542,1.168211
21.062000,-0.001535,-0.004294,1.079378,0.000026,0.000014,-0.040047,-0.000003,0.000003,1.570798,0.594508,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.596043,1.004294,0.020622,1.168032
21.064000,-0.001535,-0.004294,1.079298,0.000026,0.000014,-0.040132,-0.000003,0.000003,1.570798,0.594143,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.595678,1.004294,0.020702,1.167847
