time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,mu_x,p_output,i_output,pid_on, time_sl,raw_of_y, of_y, raw_of_y_d, of_y_d,yaw_vel,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
20.057810,0.007833,-0.307245,-1.071326,0.000157,0.000855,0.005303,-0.001411,0.000019,-0.001398,0.000003,0.000146,0.000453,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,30,-1
20.059765,0.007833,-0.307243,-1.071316,0.000154,0.000855,0.005301,-0.001457,0.000032,-0.001399,0.000004,0.000151,0.000452,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,-1
20.061718,0.007833,-0.307242,-1.071305,0.000151,0.000855,0.005298,-0.001502,0.000046,-0.001399,0.000005,0.000156,0.000451,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,-1
20.063671,0.007834,-0.307240,-1.071294,0.000148,0.000855,0.005295,-0.001547,0.000060,-0.001399,0.000007,0.000160,0.000450,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,0
20.065626,0.007834,-0.307238,-1.071284,0.000145,0.000856,0.005292,-0.001591,0.000071,-0.001399,0.000008,0.000165,0.000449,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,0
20.067579,0.007834,-0.307237,-1.071273,0.000141,0.000856,0.005289,-0.001634,0.000085,-0.001400,0.000010,0.000169,0.000448,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,0
20.069534,0.007835,-0.307235,-1.071263,0.000138,0.000856,0.005287,-0.001677,0.000099,-0.001401,0.000011,0.000173,0.000447,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,0
20.071487,0.007835,-0.307233,-1.071252,0.000135,0.000856,0.005284,-0.001718,0.000113,-0.001401,0.000012,0.000177,0.000447,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,0
20.073442,0.007835,-0.307231,-1.071241,0.000131,0.000856,0.005281,-0.001758,0.000126,-0.001401,0.000014,0.000181,0.000446,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,0
20.075396,0.007835,-0.307230,-1.071231,0.000128,0.000857,0.005278,-0.001798,0.000140,-0.001402,0.000015,0.000185,0.000445,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,0
20.077351,0.007836,-0.307228,-1.071220,0.000124,0.000857,0.005275,-0.001836,0.000154,-0.001402,0.000017,0.000189,0.000444,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,0
20.079304,0.007836,-0.307226,-1.071210,0.000120,0.000857,0.005273,-0.001872,0.000168,-0.001402,0.000018,0.000193,0.000444,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,0
20.081259,0.007836,-0.307225,-1.071199,0.000116,0.000858,0.005270,-0.001908,0.000181,-0.001402,0.000019,0.000196,0.000443,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,0
20.083212,0.007836,-0.307223,-1.071189,0.000113,0.000858,0.005267,-0.001942,0.000195,-0.001403,0.000021,0.000200,0.000442,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,29,0
20.085167,0.007837,-0.307221,-1.071178,0.000109,0.000858,0.005264,-0.001975,0.000209,-0.001403,0.000022,0.000203,0.000442,10.000000,13.000000,-2.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1494.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,30,0
