time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,mu_x,p_output,i_output,pid_on, time_sl,raw_of_y, raw_of_y_2, of_y, raw_of_y_d, of_y_d,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
10.471486,-0.005269,-0.001533,-0.960810,0.000025,-0.000051,-0.098333,-0.000078,-0.000280,0.044557,-0.000033,0.000006,0.000490,10.000000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6541,0,31,0
10.473440,-0.005269,-0.001533,-0.961007,0.000025,-0.000052,-0.098245,-0.000077,-0.000274,0.043785,-0.000032,0.000005,0.000490,10.000000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6541,0,31,0
10.475394,-0.005269,-0.001534,-0.961204,0.000025,-0.000052,-0.098159,-0.000075,-0.000267,0.043080,-0.000032,0.000005,0.000490,10.000000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6540,0,31,0
10.477348,-0.005269,-0.001534,-0.961400,0.000024,-0.000053,-0.098073,-0.000073,-0.000260,0.042540,-0.000031,0.000005,0.000490,10.000000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6540,0,31,0
10.479302,-0.005268,-0.001534,-0.961596,0.000024,-0.000053,-0.097989,-0.000071,-0.000253,0.042077,-0.000030,0.000005,0.000490,10.000000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6540,0,31,0
10.481256,-0.005268,-0.001534,-0.961792,0.000024,-0.000054,-0.097905,-0.000068,-0.000246,0.041652,-0.000030,0.000005,0.000490,10.000000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6540,0,31,0
10.483210,-0.005268,-0.001534,-0.961988,0.000024,-0.000054,-0.097823,-0.000065,-0.000239,0.041259,-0.000029,0.000004,0.000490,10.000000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6540,0,31,0
10.485164,-0.005268,-0.001534,-0.962184,0.000024,-0.000055,-0.097741,-0.000062,-0.000232,0.040897,-0.000028,0.000004,0.000490,10.000000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6540,0,32,0
10.487118,-0.005268,-0.001534,-0.962379,0.000024,-0.000055,-0.097659,-0.000058,-0.000225,0.040562,-0.000028,0.000004,0.000490,10.000000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6540,0,32,0
10.489072,-0.005268,-0.001534,-0.962575,0.000024,-0.000056,-0.097579,-0.000054,-0.000218,0.040252,-0.000027,0.000003,0.000490,10.000000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1404.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6540,0,32,0
