time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,height_e,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,raw_of_y, of_y, raw_of_y_d, of_y_d, yaw_vel,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
25.925673,0.007836,-0.304555,-1.052969,-0.000155,0.000202,0.003048,-0.001702,0.000439,0.000107,0.000044,0.000171,0.000445,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,31,3
25.927626,0.007836,-0.304554,-1.052962,-0.000158,0.000202,0.003048,-0.001652,0.000430,0.000107,0.000043,0.000166,0.000446,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,3
25.929581,0.007835,-0.304554,-1.052956,-0.000162,0.000203,0.003049,-0.001602,0.000420,0.000108,0.000042,0.000161,0.000447,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,2
25.931534,0.007835,-0.304553,-1.052950,-0.000165,0.000204,0.003049,-0.001552,0.000412,0.000109,0.000041,0.000156,0.000448,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,2
25.933489,0.007835,-0.304553,-1.052944,-0.000168,0.000205,0.003049,-0.001501,0.000401,0.000109,0.000040,0.000151,0.000450,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,2
25.935442,0.007834,-0.304553,-1.052938,-0.000171,0.000206,0.003049,-0.001450,0.000391,0.000110,0.000039,0.000145,0.000451,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,2
25.937395,0.007834,-0.304552,-1.052932,-0.000174,0.000206,0.003049,-0.001399,0.000380,0.000111,0.000038,0.000140,0.000452,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,2
25.939350,0.007834,-0.304552,-1.052926,-0.000176,0.000207,0.003050,-0.001348,0.000369,0.000111,0.000037,0.000135,0.000453,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,2
25.941303,0.007833,-0.304551,-1.052920,-0.000179,0.000208,0.003050,-0.001297,0.000358,0.000111,0.000036,0.000130,0.000454,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,2
25.943258,0.007833,-0.304551,-1.052914,-0.000181,0.000209,0.003050,-0.001245,0.000347,0.000112,0.000035,0.000124,0.000455,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,32,2
25.945211,0.007833,-0.304550,-1.052907,-0.000184,0.000209,0.003050,-0.001194,0.000336,0.000007,0.000034,0.000119,0.000456,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,32,1
25.947166,0.007832,-0.304550,-1.052901,-0.000186,0.000210,0.003050,-0.001144,0.000327,-0.000123,0.000033,0.000114,0.000457,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,32,1
25.949120,0.007832,-0.304550,-1.052895,-0.000188,0.000211,0.003050,-0.001093,0.000316,-0.000241,0.000032,0.000109,0.000458,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6506,0,32,1
25.951075,0.007831,-0.304549,-1.052889,-0.000190,0.000211,0.003049,-0.001043,0.000304,-0.000347,0.000030,0.000104,0.000459,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,1
25.953028,0.007831,-0.304549,-1.052883,-0.000192,0.000212,0.003048,-0.000993,0.000293,-0.000338,0.000029,0.000099,0.000460,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,1
25.954983,0.007831,-0.304548,-1.052877,-0.000194,0.000212,0.003048,-0.000944,0.000281,-0.000295,0.000028,0.000094,0.000461,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,33,1
25.956936,0.007830,-0.304548,-1.052871,-0.000196,0.000213,0.003047,-0.000896,0.000270,-0.000150,0.000027,0.000089,0.000462,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,33,1
25.958891,0.007830,-0.304548,-1.052865,-0.000198,0.000213,0.003047,-0.000848,0.000258,0.000015,0.000026,0.000084,0.000463,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,33,1
25.960844,0.007829,-0.304547,-1.052859,-0.000200,0.000214,0.003047,-0.000801,0.000246,0.000165,0.000025,0.000079,0.000464,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,33,1
25.962797,0.007829,-0.304547,-1.052853,-0.000201,0.000214,0.003048,-0.000755,0.000235,0.000301,0.000023,0.000075,0.000465,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,33,1
25.964752,0.007829,-0.304546,-1.052847,-0.000203,0.000215,0.003049,-0.000709,0.000223,0.000425,0.000022,0.000070,0.000465,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,33,0
25.966705,0.007828,-0.304546,-1.052840,-0.000204,0.000215,0.003050,-0.000665,0.000213,0.000537,0.000021,0.000066,0.000466,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,33,0
25.968660,0.007828,-0.304545,-1.052834,-0.000205,0.000216,0.003051,-0.000621,0.000201,0.000640,0.000020,0.000061,0.000467,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,0
25.970613,0.007827,-0.304545,-1.052828,-0.000206,0.000216,0.003052,-0.000579,0.000189,0.000627,0.000019,0.000057,0.000468,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,0
25.972569,0.007827,-0.304545,-1.052822,-0.000207,0.000216,0.003054,-0.000538,0.000177,0.000580,0.000017,0.000053,0.000469,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,0
25.974522,0.007827,-0.304544,-1.052816,-0.000208,0.000217,0.003055,-0.000498,0.000166,0.000537,0.000016,0.000049,0.000469,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,0
25.976477,0.007826,-0.304544,-1.052810,-0.000209,0.000217,0.003056,-0.000459,0.000154,0.000499,0.000015,0.000045,0.000470,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,0
25.978430,0.007826,-0.304543,-1.052804,-0.000210,0.000217,0.003057,-0.000422,0.000142,0.000463,0.000014,0.000041,0.000471,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,0
25.980385,0.007825,-0.304543,-1.052798,-0.000211,0.000218,0.003057,-0.000386,0.000130,0.000431,0.000013,0.000038,0.000472,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,0
25.982338,0.007825,-0.304542,-1.052792,-0.000212,0.000218,0.003058,-0.000351,0.000118,0.000403,0.000011,0.000034,0.000472,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,0
25.984291,0.007825,-0.304542,-1.052785,-0.000212,0.000218,0.003059,-0.000318,0.000106,0.000377,0.000010,0.000031,0.000473,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,0
25.986246,0.007824,-0.304541,-1.052779,-0.000213,0.000218,0.003060,-0.000287,0.000094,0.000353,0.000009,0.000028,0.000473,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,0
25.988199,0.007824,-0.304541,-1.052773,-0.000214,0.000218,0.003060,-0.000257,0.000082,0.000332,0.000008,0.000025,0.000474,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,33,0
25.990154,0.007823,-0.304541,-1.052767,-0.000214,0.000219,0.003061,-0.000229,0.000070,0.000312,0.000006,0.000022,0.000475,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
25.992107,0.007823,-0.304540,-1.052761,-0.000214,0.000219,0.003062,-0.000203,0.000058,0.000295,0.000005,0.000019,0.000475,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
25.994062,0.007822,-0.304540,-1.052755,-0.000215,0.000219,0.003062,-0.000178,0.000046,0.000279,0.000004,0.000017,0.000476,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
25.996016,0.007822,-0.304539,-1.052749,-0.000215,0.000219,0.003063,-0.000155,0.000034,0.000264,0.000003,0.000015,0.000476,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
25.997971,0.007822,-0.304539,-1.052743,-0.000215,0.000219,0.003063,-0.000133,0.000022,0.000251,0.000002,0.000013,0.000477,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
25.999924,0.007821,-0.304538,-1.052737,-0.000216,0.000219,0.003064,-0.000113,0.000010,0.000239,0.000000,0.000010,0.000478,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.001879,0.007821,-0.304538,-1.052730,-0.000216,0.000219,0.003064,-0.000093,-0.000002,0.000228,-0.000001,0.000009,0.000478,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.003832,0.007820,-0.304538,-1.052724,-0.000216,0.000219,0.003065,-0.000076,-0.000014,0.000218,-0.000002,0.000007,0.000479,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.005787,0.007820,-0.304537,-1.052718,-0.000216,0.000219,0.003065,-0.000059,-0.000026,0.000209,-0.000003,0.000005,0.000479,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.007740,0.007819,-0.304537,-1.052712,-0.000216,0.000219,0.003065,-0.000043,-0.000038,0.000201,-0.000005,0.000004,0.000480,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.009693,0.007819,-0.304536,-1.052706,-0.000216,0.000219,0.003066,-0.000029,-0.000050,0.000195,-0.000006,0.000002,0.000480,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.011648,0.007818,-0.304536,-1.052700,-0.000216,0.000219,0.003066,-0.000016,-0.000062,0.000188,-0.000007,0.000001,0.000481,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.013601,0.007818,-0.304535,-1.052694,-0.000216,0.000219,0.003067,-0.000004,-0.000074,0.000181,-0.000008,-0.000000,0.000481,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.015556,0.007818,-0.304535,-1.052687,-0.000216,0.000218,0.003067,0.000007,-0.000086,0.000176,-0.000009,-0.000001,0.000482,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.017509,0.007817,-0.304534,-1.052681,-0.000216,0.000218,0.003067,0.000018,-0.000098,0.000171,-0.000011,-0.000002,0.000482,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.019464,0.007817,-0.304534,-1.052675,-0.000216,0.000218,0.003068,0.000027,-0.000110,0.000166,-0.000012,-0.000003,0.000483,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.021418,0.007816,-0.304534,-1.052669,-0.000216,0.000218,0.003068,0.000035,-0.000122,0.000161,-0.000013,-0.000004,0.000483,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.023373,0.007816,-0.304533,-1.052663,-0.000216,0.000217,0.003068,0.000042,-0.000134,0.000158,-0.000014,-0.000005,0.000484,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,32,0
26.025326,0.007815,-0.304533,-1.052657,-0.000216,0.000217,0.003069,0.000049,-0.000146,0.000154,-0.000016,-0.000005,0.000485,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,31,0
26.027281,0.007815,-0.304532,-1.052651,-0.000216,0.000217,0.003069,0.000054,-0.000158,0.000150,-0.000017,-0.000006,0.000485,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,31,0
26.029234,0.007815,-0.304532,-1.052644,-0.000216,0.000217,0.003069,0.000059,-0.000170,0.000146,-0.000018,-0.000006,0.000486,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,31,0
26.031187,0.007814,-0.304531,-1.052638,-0.000216,0.000216,0.003069,0.000063,-0.000182,0.000142,-0.000019,-0.000007,0.000486,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,31,0
26.033142,0.007814,-0.304531,-1.052632,-0.000216,0.000216,0.003070,0.000066,-0.000194,0.000139,-0.000020,-0.000007,0.000487,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,31,0
26.035095,0.007813,-0.304531,-1.052626,-0.000215,0.000215,0.003070,0.000069,-0.000206,0.000137,-0.000022,-0.000007,0.000487,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,31,0
26.037050,0.007813,-0.304530,-1.052620,-0.000215,0.000215,0.003070,0.000072,-0.000218,0.000135,-0.000023,-0.000007,0.000488,10.000000,18.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1438.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,31,0
