time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,height_e,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,raw_of_y, of_y, raw_of_y_d, of_y_d, yaw_vel,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
21.109062,0.007832,-0.304816,-1.063513,0.000177,0.001315,0.004321,-0.001159,0.000108,0.001261,0.000011,0.000120,0.000458,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1498.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,-1
21.111015,0.007833,-0.304813,-1.063505,0.000175,0.001315,0.004324,-0.001202,0.000097,0.001294,0.000010,0.000125,0.000457,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1498.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,-1
21.112970,0.007833,-0.304811,-1.063496,0.000172,0.001315,0.004326,-0.001245,0.000087,0.001323,0.000009,0.000129,0.000456,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1498.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,-1
21.114923,0.007833,-0.304808,-1.063487,0.000170,0.001315,0.004329,-0.001288,0.000077,0.001350,0.000007,0.000134,0.000455,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1498.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,-1
21.116879,0.007834,-0.304805,-1.063479,0.000167,0.001315,0.004332,-0.001331,0.000066,0.001374,0.000006,0.000138,0.000454,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1498.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,-1
21.118832,0.007834,-0.304803,-1.063470,0.000164,0.001315,0.004335,-0.001373,0.000056,0.001396,0.000005,0.000142,0.000453,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,-1
21.120787,0.007834,-0.304800,-1.063461,0.000162,0.001315,0.004337,-0.001414,0.000045,0.001417,0.000004,0.000146,0.000452,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,-1
21.122740,0.007835,-0.304798,-1.063453,0.000159,0.001315,0.004340,-0.001455,0.000035,0.001435,0.000003,0.000151,0.000451,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,-1
21.124695,0.007835,-0.304795,-1.063444,0.000156,0.001316,0.004343,-0.001496,0.000024,0.001451,0.000002,0.000155,0.000451,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,-1
21.126648,0.007835,-0.304792,-1.063435,0.000153,0.001316,0.004346,-0.001536,0.000014,0.001466,0.000001,0.000159,0.000450,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
21.128601,0.007835,-0.304790,-1.063427,0.000150,0.001316,0.004349,-0.001575,0.000001,0.001479,-0.000000,0.000163,0.000449,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
21.130556,0.007836,-0.304787,-1.063418,0.000146,0.001316,0.004352,-0.001613,-0.000009,0.001492,-0.000001,0.000167,0.000448,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
21.132509,0.007836,-0.304784,-1.063409,0.000143,0.001316,0.004355,-0.001651,-0.000020,0.001504,-0.000002,0.000170,0.000447,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
21.134464,0.007836,-0.304782,-1.063401,0.000140,0.001315,0.004358,-0.001688,-0.000031,0.001514,-0.000003,0.000174,0.000446,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
21.136417,0.007837,-0.304779,-1.063392,0.000136,0.001315,0.004361,-0.001724,-0.000041,0.001523,-0.000005,0.000178,0.000446,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
21.138372,0.007837,-0.304777,-1.063383,0.000133,0.001315,0.004364,-0.001760,-0.000052,0.001532,-0.000006,0.000181,0.000445,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
21.140326,0.007837,-0.304774,-1.063374,0.000129,0.001315,0.004367,-0.001795,-0.000062,0.001540,-0.000007,0.000185,0.000444,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
21.142281,0.007837,-0.304771,-1.063366,0.000126,0.001315,0.004370,-0.001829,-0.000073,0.001547,-0.000008,0.000188,0.000444,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
21.144234,0.007838,-0.304769,-1.063357,0.000122,0.001315,0.004373,-0.001863,-0.000084,0.001553,-0.000009,0.000192,0.000443,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
21.146189,0.007838,-0.304766,-1.063348,0.000118,0.001315,0.004377,-0.001896,-0.000094,0.001559,-0.000010,0.000195,0.000442,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
21.148142,0.007838,-0.304763,-1.063339,0.000114,0.001314,0.004380,-0.001929,-0.000105,0.001565,-0.000011,0.000199,0.000442,10.000000,15.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1502.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,30,0
