time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,height_e,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,raw_of_y, of_y, raw_of_y_d, of_y_d, yaw_vel,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
25.194876,0.007795,-0.304154,-1.049125,0.000206,0.000182,0.003091,0.000942,0.000221,0.000110,0.000022,-0.000094,0.000460,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,1
25.196831,0.007795,-0.304154,-1.049119,0.000208,0.000182,0.003091,0.000891,0.000212,0.000110,0.000021,-0.000088,0.000461,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,1
25.198784,0.007796,-0.304153,-1.049113,0.000209,0.000183,0.003091,0.000841,0.000203,0.000109,0.000020,-0.000083,0.000462,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,1
25.200739,0.007796,-0.304153,-1.049107,0.000211,0.000183,0.003091,0.000792,0.000194,0.000108,0.000019,-0.000078,0.000463,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,1
25.202692,0.007797,-0.304153,-1.049100,0.000212,0.000184,0.003091,0.000743,0.000185,0.000107,0.000018,-0.000073,0.000464,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,1
25.204645,0.007797,-0.304152,-1.049094,0.000214,0.000184,0.003092,0.000695,0.000177,0.000107,0.000017,-0.000068,0.000464,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,1
25.206600,0.007797,-0.304152,-1.049088,0.000215,0.000184,0.003092,0.000648,0.000168,0.000107,0.000017,-0.000064,0.000465,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
25.208553,0.007798,-0.304152,-1.049082,0.000216,0.000185,0.003092,0.000601,0.000161,0.000107,0.000016,-0.000059,0.000466,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
25.210508,0.007798,-0.304151,-1.049076,0.000218,0.000185,0.003092,0.000555,0.000152,0.000106,0.000015,-0.000054,0.000467,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
25.212461,0.007799,-0.304151,-1.049070,0.000219,0.000185,0.003092,0.000511,0.000143,0.000105,0.000014,-0.000050,0.000468,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
25.214417,0.007799,-0.304150,-1.049063,0.000220,0.000186,0.003093,0.000467,0.000134,0.000105,0.000013,-0.000045,0.000469,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
25.216370,0.007800,-0.304150,-1.049057,0.000220,0.000186,0.003093,0.000425,0.000125,0.000104,0.000012,-0.000041,0.000469,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
25.218325,0.007800,-0.304150,-1.049051,0.000221,0.000186,0.003093,0.000383,0.000116,0.000103,0.000011,-0.000037,0.000470,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
25.220278,0.007801,-0.304149,-1.049045,0.000222,0.000186,0.003093,0.000343,0.000106,0.000102,0.000010,-0.000033,0.000471,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
25.222233,0.007801,-0.304149,-1.049039,0.000223,0.000186,0.003094,0.000304,0.000097,0.000102,0.000009,-0.000029,0.000472,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
25.224186,0.007801,-0.304149,-1.049032,0.000223,0.000187,0.003094,0.000267,0.000088,0.000101,0.000008,-0.000025,0.000472,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
25.226139,0.007802,-0.304148,-1.049026,0.000224,0.000187,0.003094,0.000230,0.000079,0.000101,0.000008,-0.000022,0.000473,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
25.228094,0.007802,-0.304148,-1.049020,0.000224,0.000187,0.003094,0.000196,0.000070,0.000100,0.000007,-0.000018,0.000473,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
25.230047,0.007803,-0.304147,-1.049014,0.000224,0.000187,0.003094,0.000162,0.000061,0.000100,0.000006,-0.000015,0.000474,10.000000,19.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1520.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6505,0,29,0
